Created at	Mon Nov  5 10:03:13 2018
1	肖申克的救赎	评分:9.6
	1184344人评价	简评:希望让人自由。

2	霸王别姬	评分:9.6
	868914人评价	简评:风华绝代。

3	这个杀手不太冷	评分:9.4
	1091169人评价	简评:怪蜀黍和小萝莉不得不说的故事。

4	阿甘正传	评分:9.4
	933545人评价	简评:一部美国近现代史。

5	美丽人生	评分:9.5
	545481人评价	简评:最美的谎言。

6	泰坦尼克号	评分:9.3
	869854人评价	简评:失去的才是永恒的。 

7	千与千寻	评分:9.3
	863925人评价	简评:最好的宫崎骏，最好的久石让。 

8	辛德勒的名单	评分:9.5
	490890人评价	简评:拯救一个人，就是拯救整个世界。

9	盗梦空间	评分:9.3
	953135人评价	简评:诺兰给了我们一场无法盗取的梦。

10	机器人总动员	评分:9.3
	631511人评价	简评:小瓦力，大人生。

11	忠犬八公的故事	评分:9.3
	614302人评价	简评:永远都不能忘记你所爱的人。

12	三傻大闹宝莱坞	评分:9.2
	852866人评价	简评:英俊版憨豆，高情商版谢耳朵。

13	海上钢琴师	评分:9.2
	713183人评价	简评:每个人都要走一条自己坚定了的路，就算是粉身碎骨。 

14	放牛班的春天	评分:9.2
	585282人评价	简评:天籁一般的童声，是最接近上帝的存在。 

15	大话西游之大圣娶亲	评分:9.2
	644593人评价	简评:一生所爱。

16	楚门的世界	评分:9.2
	624725人评价	简评:如果再也不能见到你，祝你早安，午安，晚安。

17	教父	评分:9.2
	432337人评价	简评:千万不要记恨你的对手，这样会让你失去理智。

18	龙猫	评分:9.1
	529249人评价	简评:人人心中都有个龙猫，童年就永远不会消失。

19	星际穿越	评分:9.2
	641508人评价	简评:爱是一种力量，让我们超越时空感知它的存在。

20	熔炉	评分:9.2
	361202人评价	简评:我们一路奋战不是为了改变世界，而是为了不让世界改变我们。

21	无间道	评分:9.1
	529085人评价	简评:香港电影史上永不过时的杰作。

22	触不可及	评分:9.2
	460059人评价	简评:满满温情的高雅喜剧。

23	当幸福来敲门	评分:9.0
	687914人评价	简评:平民励志片。 

24	乱世佳人	评分:9.2
	329439人评价	简评:Tomorrow is another day.

25	怦然心动	评分:9.0
	738987人评价	简评:真正的幸福是来自内心深处。

26	疯狂动物城	评分:9.1
	698488人评价	简评:迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。

27	天堂电影院	评分:9.1
	362153人评价	简评:那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。

28	蝙蝠侠：黑暗骑士	评分:9.1
	424771人评价	简评:无尽的黑暗。

29	活着	评分:9.1
	351682人评价	简评:张艺谋最好的电影。

30	十二怒汉	评分:9.4
	211405人评价	简评:1957年的理想主义。 

31	少年派的奇幻漂流	评分:9.0
	709099人评价	简评:瑰丽壮观、无人能及的冒险之旅。

32	鬼子来了	评分:9.2
	293148人评价	简评:对敌人的仁慈，就是对自己残忍。

33	指环王3：王者无敌	评分:9.1
	351044人评价	简评:史诗的终章。

34	搏击俱乐部	评分:9.0
	466460人评价	简评:邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。

35	天空之城	评分:9.0
	408210人评价	简评:对天空的追逐，永不停止。 

36	控方证人	评分:9.6
	141224人评价	简评:比利·怀德满分作品。

37	飞屋环游记	评分:8.9
	622967人评价	简评:最后那些最无聊的事情，才是最值得怀念的。 

38	大话西游之月光宝盒	评分:8.9
	518397人评价	简评:旷古烁今。

39	罗马假日	评分:9.0
	473494人评价	简评:爱情哪怕只有一天。

40	窃听风暴	评分:9.1
	279850人评价	简评:别样人生。

41	摔跤吧！爸爸	评分:9.1
	625472人评价	简评:你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。

42	两杆大烟枪	评分:9.1
	320219人评价	简评:4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。

43	辩护人	评分:9.2
	276696人评价	简评:电影的现实意义大过电影本身。

44	闻香识女人	评分:9.0
	401186人评价	简评:史上最美的探戈。

45	飞越疯人院	评分:9.0
	324115人评价	简评:自由万岁。

46	哈尔的移动城堡	评分:8.9
	441404人评价	简评:带着心爱的人在天空飞翔。

47	死亡诗社	评分:9.0
	344451人评价	简评:当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。

48	V字仇杀队	评分:8.8
	520599人评价	简评:一张面具背后的理想与革命。

49	海豚湾	评分:9.3
	213201人评价	简评:海豚的微笑，是世界上最高明的伪装。

50	教父2	评分:9.1
	233763人评价	简评:优雅的孤独。

51	指环王2：双塔奇兵	评分:9.0
	329211人评价	简评:承前启后的史诗篇章。

52	指环王1：魔戒再现	评分:8.9
	368728人评价	简评:传说的开始。

53	美丽心灵	评分:8.9
	367692人评价	简评:爱是一切逻辑和原由。

54	饮食男女	评分:9.1
	252668人评价	简评:人生不能像做菜，把所有的料都准备好了才下锅。

55	情书	评分:8.8
	450432人评价	简评:暗恋的极致。

56	素媛	评分:9.1
	237272人评价	简评:受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。

57	狮子王	评分:8.9
	345716人评价	简评:动物版《哈姆雷特》。

58	美国往事	评分:9.1
	209304人评价	简评:往事如烟，无处祭奠。

59	钢琴家	评分:9.1
	242746人评价	简评:音乐能化解仇恨。

60	小鞋子	评分:9.2
	174721人评价	简评:奔跑的孩子是天使。

61	七宗罪	评分:8.8
	507815人评价	简评:警察抓小偷，老鼠玩死猫。

62	被嫌弃的松子的一生	评分:8.9
	363584人评价	简评:以戏谑来戏谑戏谑。

63	致命魔术	评分:8.8
	414245人评价	简评:孪生蝙蝠侠大战克隆金刚狼。

64	天使爱美丽	评分:8.7
	565941人评价	简评:法式小清新。 

65	本杰明·巴顿奇事	评分:8.8
	471292人评价	简评:在时间之河里感受溺水之苦。

66	西西里的美丽传说	评分:8.8
	437041人评价	简评:美丽无罪。

67	黑客帝国	评分:8.9
	346167人评价	简评:视觉革命。

68	让子弹飞	评分:8.7
	765404人评价	简评:你给我翻译翻译，神马叫做TMD的惊喜。

69	拯救大兵瑞恩	评分:8.9
	295483人评价	简评:美利坚精神输出大片No1.

70	音乐之声	评分:8.9
	276936人评价	简评:用音乐化解仇恨，让歌声串起美好。

71	看不见的客人	评分:8.7
	460916人评价	简评:你以为你以为的就是你以为的。

72	末代皇帝	评分:9.0
	232940人评价	简评:“不要跟我比惨，我比你更惨”再适合这部电影不过了。

73	低俗小说	评分:8.8
	405108人评价	简评:故事的高级讲法。

74	勇敢的心	评分:8.8
	339719人评价	简评:史诗大片的典范。

75	剪刀手爱德华	评分:8.7
	572494人评价	简评:浪漫忧郁的成人童话。

76	沉默的羔羊	评分:8.8
	414943人评价	简评:安东尼·霍普金斯的顶级表演。

77	大闹天宫	评分:9.3
	133045人评价	简评:经典之作，历久弥新。

78	蝴蝶效应	评分:8.7
	455579人评价	简评:人的命运被自己瞬间的抉择改变。

79	春光乍泄	评分:8.8
	298639人评价	简评:爱情纠缠，男女一致。

80	入殓师	评分:8.8
	358485人评价	简评:死可能是一道门，逝去并不是终结，而是超越，走向下一程。

81	心灵捕手	评分:8.8
	329647人评价	简评:人生中应该拥有这样的一段豁然开朗。

82	哈利·波特与魔法石	评分:8.8
	336381人评价	简评:童话世界的开端。

83	玛丽和马克思	评分:8.9
	260440人评价	简评:你是我最好的朋友，你是我唯一的朋友 。

84	布达佩斯大饭店	评分:8.8
	394848人评价	简评:小清新的故事里注入了大历史的情怀。

85	阳光灿烂的日子	评分:8.8
	324017人评价	简评:一场华丽的意淫。

86	禁闭岛	评分:8.7
	435664人评价	简评:昔日翩翩少年，今日大腹便便。

87	猫鼠游戏	评分:8.8
	295389人评价	简评:骗子大师和执著警探的你追我跑故事。 

88	幽灵公主	评分:8.8
	276997人评价	简评:人与自然的战争史诗。

89	第六感	评分:8.8
	277302人评价	简评:深入内心的恐怖，出人意料的结局。

90	重庆森林	评分:8.7
	394781人评价	简评:寂寞没有期限。

91	狩猎	评分:9.1
	162859人评价	简评:人言可畏。

92	致命ID	评分:8.7
	381108人评价	简评:最不可能的那个人永远是最可能的。

93	断背山	评分:8.7
	378955人评价	简评:每个人心中都有一座断背山。

94	穿条纹睡衣的男孩	评分:8.9
	190349人评价	简评:尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。

95	大鱼	评分:8.7
	296825人评价	简评:抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。

96	加勒比海盗	评分:8.6
	417375人评价	简评:约翰尼·德普的独角戏。

97	阿凡达	评分:8.6
	629345人评价	简评:绝对意义上的美轮美奂。

98	告白	评分:8.7
	401527人评价	简评:没有一人完全善，也没有一人完全恶。

99	摩登时代	评分:9.2
	112573人评价	简评:大时代中的人生，小人物的悲喜。

100	一一	评分:9.0
	181167人评价	简评:我们都曾经是一一。

